"paper","study","design","level","index","paper_statistic","paper_value","cier_value","delta","status","n","note"
"goldammer_battery_2024","1","BS","full","MD","AUC",0.79,0.759,-0.031,"differs",237,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","1","BS","full","Outfit","AUC",0.66,,,"not_implemented",237,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","1","BS","full","RPR","AUC",0.88,0.887,0.007,"close",237,""
"goldammer_battery_2024","1","BS","full","Synonyms","AUC",0.83,,,"abstains",237,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","1","BS","full","Time","AUC",0.87,,,"not_implemented",237,"timing indices are outside cier's scope"
"goldammer_battery_2024","1","BS","full","lz","AUC",0.71,,,"not_implemented",237,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","1","BS","full","r_pbis","AUC",0.85,0.852,0.002,"matches",237,""
"goldammer_battery_2024","1","BS","partial","Antonyms","AUC",0.71,,,"abstains",239,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","1","BS","partial","Gnormed","AUC",0.81,0.798,-0.012,"close",239,"scored on 238 of 239 respondents (abstentions excluded)"
"goldammer_battery_2024","1","BS","partial","Ht","AUC",0.77,0.766,-0.004,"matches",239,"scored on 238 of 239 respondents (abstentions excluded)"
"goldammer_battery_2024","1","BS","partial","INDCHI","AUC",0.72,,,"not_implemented",239,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","1","BS","partial","IRV","AUC",0.43,0.428,-0.002,"matches",239,""
"goldammer_battery_2024","1","BS","partial","Infit","AUC",0.79,,,"not_implemented",239,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","1","BS","partial","Longstring","AUC",0.54,0.548,0.008,"close",239,""
"goldammer_battery_2024","1","BS","partial","MD","AUC",0.84,0.837,-0.003,"matches",239,""
"goldammer_battery_2024","1","BS","partial","Outfit","AUC",0.8,,,"not_implemented",239,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","1","BS","partial","RPR","AUC",0.86,0.859,-0.001,"matches",239,""
"goldammer_battery_2024","1","BS","partial","Synonyms","AUC",0.81,,,"abstains",239,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","1","BS","partial","Time","AUC",0.68,,,"not_implemented",239,"timing indices are outside cier's scope"
"goldammer_battery_2024","1","BS","partial","lz","AUC",0.81,,,"not_implemented",239,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","1","BS","partial","r_pbis","AUC",0.78,0.776,-0.004,"matches",239,""
"goldammer_battery_2024","2","BS","full","Antonyms","AUC",0.82,,,"abstains",227,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","2","BS","full","Gnormed","AUC",0.69,0.695,0.005,"close",227,""
"goldammer_battery_2024","2","BS","full","Ht","AUC",0.84,0.84,0,"matches",227,""
"goldammer_battery_2024","2","BS","full","INDCHI","AUC",0.78,,,"not_implemented",227,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","2","BS","full","IRV","AUC",0.53,0.532,0.002,"matches",227,""
"goldammer_battery_2024","2","BS","full","Infit","AUC",0.64,,,"not_implemented",227,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","2","BS","full","Longstring","AUC",0.54,0.542,0.002,"matches",227,""
"goldammer_battery_2024","2","BS","full","MD","AUC",0.73,0.725,-0.005,"close",227,""
"goldammer_battery_2024","2","BS","full","Outfit","AUC",0.64,,,"not_implemented",227,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","2","BS","full","RPR","AUC",0.84,0.838,-0.002,"matches",227,""
"goldammer_battery_2024","2","BS","full","Synonyms","AUC",0.82,,,"abstains",227,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","2","BS","full","Time","AUC",0.85,,,"not_implemented",227,"timing indices are outside cier's scope"
"goldammer_battery_2024","2","BS","full","lz","AUC",0.7,,,"not_implemented",227,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","2","BS","full","r_pbis","AUC",0.86,0.858,-0.002,"matches",227,""
"goldammer_battery_2024","2","BS","partial","Antonyms","AUC",0.73,,,"abstains",226,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","2","BS","partial","Gnormed","AUC",0.78,0.777,-0.003,"matches",226,"scored on 225 of 226 respondents (abstentions excluded)"
"goldammer_battery_2024","2","BS","partial","Ht","AUC",0.76,0.771,0.011,"close",226,"scored on 225 of 226 respondents (abstentions excluded)"
"goldammer_battery_2024","2","BS","partial","INDCHI","AUC",0.74,,,"not_implemented",226,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","2","BS","partial","IRV","AUC",0.4,0.399,-0.001,"matches",226,""
"goldammer_battery_2024","2","BS","partial","Infit","AUC",0.75,,,"not_implemented",226,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","2","BS","partial","Longstring","AUC",0.45,0.438,-0.012,"close",226,""
"goldammer_battery_2024","2","BS","partial","MD","AUC",0.77,0.799,0.029,"close",226,""
"goldammer_battery_2024","2","BS","partial","Outfit","AUC",0.76,,,"not_implemented",226,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","2","BS","partial","RPR","AUC",0.77,0.769,-0.001,"matches",226,""
"goldammer_battery_2024","2","BS","partial","Synonyms","AUC",0.76,,,"abstains",226,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","2","BS","partial","Time","AUC",0.52,,,"not_implemented",226,"timing indices are outside cier's scope"
"goldammer_battery_2024","2","BS","partial","lz","AUC",0.81,,,"not_implemented",226,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","2","BS","partial","r_pbis","AUC",0.76,0.759,-0.001,"matches",226,""
"goldammer_battery_2024","3","two-wave","","(all)","AUC",,,,"not_evaluated",,"manipulation failed (Goldammer et al. 2024, Study 3): within-person t1-t2 response correlations did not differ across conditions; the authors ran no detection analysis"
"goldammer_battery_2024","4","BS","full","Antonyms","AUC",0.89,,,"abstains",363,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","4","BS","full","Antonyms (careful-reference)","AUC",0.89,0.941,0.051,"differs",363,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 347 of 363 respondents (abstentions excluded)"
"goldammer_battery_2024","4","BS","full","Gnormed","AUC",0.79,0.792,0.002,"matches",363,"scored on 361 of 363 respondents (abstentions excluded)"
"goldammer_battery_2024","4","BS","full","Ht","AUC",0.66,0.641,-0.019,"close",363,"scored on 361 of 363 respondents (abstentions excluded)"
"goldammer_battery_2024","4","BS","full","INDCHI","AUC",0.48,,,"not_implemented",363,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","4","BS","full","IRV","AUC",0.61,0.608,-0.002,"matches",363,""
"goldammer_battery_2024","4","BS","full","Infit","AUC",0.77,,,"not_implemented",363,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","4","BS","full","Longstring","AUC",0.72,0.702,-0.018,"close",363,""
"goldammer_battery_2024","4","BS","full","MD","AUC",0.84,0.738,-0.102,"differs",363,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","4","BS","full","Outfit","AUC",0.77,,,"not_implemented",363,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","4","BS","full","RPR","AUC",0.94,0.939,-0.001,"matches",363,""
"goldammer_battery_2024","4","BS","full","Synonyms","AUC",0.94,0.849,-0.091,"differs",363,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 332 of 363 respondents (abstentions excluded)"
"goldammer_battery_2024","4","BS","full","Synonyms (careful-reference)","AUC",0.94,0.934,-0.006,"close",363,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 350 of 363 respondents (abstentions excluded)"
"goldammer_battery_2024","4","BS","full","Time","AUC",0.87,,,"not_implemented",363,"timing indices are outside cier's scope"
"goldammer_battery_2024","4","BS","full","lz","AUC",0.81,,,"not_implemented",363,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","4","BS","full","r_pbis","AUC",0.91,0.9,-0.01,"close",363,"scored on 353 of 363 respondents (abstentions excluded)"
"goldammer_battery_2024","4","BS","partial","Antonyms","AUC",0.87,,,"abstains",359,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","4","BS","partial","Antonyms (careful-reference)","AUC",0.87,0.879,0.009,"close",359,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","4","BS","partial","Gnormed","AUC",0.78,0.78,0,"matches",359,""
"goldammer_battery_2024","4","BS","partial","Ht","AUC",0.66,0.648,-0.012,"close",359,""
"goldammer_battery_2024","4","BS","partial","INDCHI","AUC",0.56,,,"not_implemented",359,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","4","BS","partial","IRV","AUC",0.47,0.472,0.002,"matches",359,""
"goldammer_battery_2024","4","BS","partial","Infit","AUC",0.76,,,"not_implemented",359,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","4","BS","partial","Longstring","AUC",0.63,0.634,0.004,"matches",359,""
"goldammer_battery_2024","4","BS","partial","MD","AUC",0.88,0.835,-0.045,"differs",359,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","4","BS","partial","Outfit","AUC",0.77,,,"not_implemented",359,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","4","BS","partial","RPR","AUC",0.88,0.883,0.003,"matches",359,""
"goldammer_battery_2024","4","BS","partial","Synonyms","AUC",0.89,0.734,-0.156,"differs",359,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 350 of 359 respondents (abstentions excluded)"
"goldammer_battery_2024","4","BS","partial","Synonyms (careful-reference)","AUC",0.89,0.888,-0.002,"matches",359,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","4","BS","partial","Time","AUC",0.6,,,"not_implemented",359,"timing indices are outside cier's scope"
"goldammer_battery_2024","4","BS","partial","lz","AUC",0.79,,,"not_implemented",359,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","4","BS","partial","r_pbis","AUC",0.7,0.697,-0.003,"matches",359,""
"goldammer_battery_2024","4","WS","full","Antonyms","AUC",0.9,,,"abstains",244,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","4","WS","full","Antonyms (careful-reference)","AUC",0.9,0.931,0.031,"differs",244,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 228 of 244 respondents (abstentions excluded)"
"goldammer_battery_2024","4","WS","full","Gnormed","AUC",0.83,0.827,-0.003,"matches",244,"scored on 242 of 244 respondents (abstentions excluded)"
"goldammer_battery_2024","4","WS","full","Ht","AUC",0.7,0.82,0.12,"differs",244,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken; scored on 242 of 244 respondents (abstentions excluded)"
"goldammer_battery_2024","4","WS","full","INDCHI","AUC",0.49,,,"not_implemented",244,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","4","WS","full","IRV","AUC",0.6,0.597,-0.003,"matches",244,""
"goldammer_battery_2024","4","WS","full","Infit","AUC",0.69,,,"not_implemented",244,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","4","WS","full","Longstring","AUC",0.7,0.685,-0.015,"close",244,""
"goldammer_battery_2024","4","WS","full","MD","AUC",0.86,0.647,-0.213,"differs",244,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","4","WS","full","Outfit","AUC",0.69,,,"not_implemented",244,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","4","WS","full","RPR","AUC",0.93,0.937,0.007,"close",244,""
"goldammer_battery_2024","4","WS","full","Synonyms","AUC",0.94,0.782,-0.158,"differs",244,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 216 of 244 respondents (abstentions excluded)"
"goldammer_battery_2024","4","WS","full","Synonyms (careful-reference)","AUC",0.94,0.939,-0.001,"matches",244,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 231 of 244 respondents (abstentions excluded)"
"goldammer_battery_2024","4","WS","full","Time","AUC",0.91,,,"not_implemented",244,"timing indices are outside cier's scope"
"goldammer_battery_2024","4","WS","full","lz","AUC",0.72,,,"not_implemented",244,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","4","WS","full","r_pbis","AUC",0.94,0.93,-0.01,"close",244,"scored on 234 of 244 respondents (abstentions excluded)"
"goldammer_battery_2024","4","WS","partial","Antonyms","AUC",0.8,,,"abstains",236,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","4","WS","partial","Antonyms (careful-reference)","AUC",0.8,0.82,0.02,"close",236,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","4","WS","partial","Gnormed","AUC",0.78,0.781,0.001,"matches",236,""
"goldammer_battery_2024","4","WS","partial","Ht","AUC",0.73,0.86,0.13,"differs",236,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken"
"goldammer_battery_2024","4","WS","partial","INDCHI","AUC",0.56,,,"not_implemented",236,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","4","WS","partial","IRV","AUC",0.48,0.482,0.002,"matches",236,""
"goldammer_battery_2024","4","WS","partial","Infit","AUC",0.58,,,"not_implemented",236,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","4","WS","partial","Longstring","AUC",0.58,0.578,-0.002,"matches",236,""
"goldammer_battery_2024","4","WS","partial","MD","AUC",0.88,0.636,-0.244,"differs",236,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","4","WS","partial","Outfit","AUC",0.59,,,"not_implemented",236,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","4","WS","partial","RPR","AUC",0.84,0.844,0.004,"matches",236,""
"goldammer_battery_2024","4","WS","partial","Synonyms","AUC",0.85,0.583,-0.267,"differs",236,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 230 of 236 respondents (abstentions excluded)"
"goldammer_battery_2024","4","WS","partial","Synonyms (careful-reference)","AUC",0.85,0.836,-0.014,"close",236,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","4","WS","partial","Time","AUC",0.69,,,"not_implemented",236,"timing indices are outside cier's scope"
"goldammer_battery_2024","4","WS","partial","lz","AUC",0.58,,,"not_implemented",236,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","4","WS","partial","r_pbis","AUC",0.77,0.761,-0.009,"close",236,""
"goldammer_battery_2024","5","BS","full","Antonyms","AUC",0.9,,,"abstains",361,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","5","BS","full","Antonyms (careful-reference)","AUC",0.9,0.933,0.033,"differs",361,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 351 of 361 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","full","Gnormed","AUC",0.8,0.789,-0.011,"close",361,""
"goldammer_battery_2024","5","BS","full","Ht","AUC",0.69,0.641,-0.049,"differs",361,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken"
"goldammer_battery_2024","5","BS","full","INDCHI","AUC",0.64,,,"not_implemented",361,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","5","BS","full","IRV","AUC",0.67,0.669,-0.001,"matches",361,""
"goldammer_battery_2024","5","BS","full","Infit","AUC",0.77,,,"not_implemented",361,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","5","BS","full","Longstring","AUC",0.68,0.678,-0.002,"matches",361,""
"goldammer_battery_2024","5","BS","full","MD","AUC",0.85,0.746,-0.104,"differs",361,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","5","BS","full","Outfit","AUC",0.78,,,"not_implemented",361,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","5","BS","full","RPR","AUC",0.93,0.934,0.004,"matches",361,""
"goldammer_battery_2024","5","BS","full","Synonyms","AUC",0.9,0.84,-0.06,"differs",361,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 343 of 361 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","full","Synonyms (careful-reference)","AUC",0.9,0.911,0.011,"close",361,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 352 of 361 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","full","Time","AUC",0.88,,,"not_implemented",361,"timing indices are outside cier's scope"
"goldammer_battery_2024","5","BS","full","lz","AUC",0.83,,,"not_implemented",361,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","5","BS","full","r_pbis","AUC",0.87,0.869,-0.001,"matches",361,"scored on 356 of 361 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","partial","Antonyms","AUC",0.82,,,"abstains",360,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","5","BS","partial","Antonyms (careful-reference)","AUC",0.82,0.859,0.039,"differs",360,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 359 of 360 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","partial","Gnormed","AUC",0.7,0.699,-0.001,"matches",360,""
"goldammer_battery_2024","5","BS","partial","Ht","AUC",0.65,0.604,-0.046,"differs",360,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken"
"goldammer_battery_2024","5","BS","partial","INDCHI","AUC",0.48,,,"not_implemented",360,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","5","BS","partial","IRV","AUC",0.57,0.567,-0.003,"matches",360,""
"goldammer_battery_2024","5","BS","partial","Infit","AUC",0.68,,,"not_implemented",360,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","5","BS","partial","Longstring","AUC",0.6,0.599,-0.001,"matches",360,""
"goldammer_battery_2024","5","BS","partial","MD","AUC",0.81,0.766,-0.044,"differs",360,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","5","BS","partial","Outfit","AUC",0.69,,,"not_implemented",360,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","5","BS","partial","RPR","AUC",0.85,0.845,-0.005,"close",360,""
"goldammer_battery_2024","5","BS","partial","Synonyms","AUC",0.86,0.761,-0.099,"differs",360,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 357 of 360 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","partial","Synonyms (careful-reference)","AUC",0.86,0.852,-0.008,"close",360,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","5","BS","partial","Time","AUC",0.61,,,"not_implemented",360,"timing indices are outside cier's scope"
"goldammer_battery_2024","5","BS","partial","lz","AUC",0.72,,,"not_implemented",360,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","5","BS","partial","r_pbis","AUC",0.71,0.709,-0.001,"matches",360,""
"goldammer_battery_2024","5","WS","full","Antonyms","AUC",0.9,,,"abstains",242,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","5","WS","full","Antonyms (careful-reference)","AUC",0.9,0.925,0.025,"close",242,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 233 of 242 respondents (abstentions excluded)"
"goldammer_battery_2024","5","WS","full","Gnormed","AUC",0.84,0.831,-0.009,"close",242,""
"goldammer_battery_2024","5","WS","full","Ht","AUC",0.73,0.809,0.079,"differs",242,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken"
"goldammer_battery_2024","5","WS","full","INDCHI","AUC",0.64,,,"not_implemented",242,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","5","WS","full","IRV","AUC",0.66,0.662,0.002,"matches",242,""
"goldammer_battery_2024","5","WS","full","Infit","AUC",0.66,,,"not_implemented",242,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","5","WS","full","Longstring","AUC",0.69,0.689,-0.001,"matches",242,""
"goldammer_battery_2024","5","WS","full","MD","AUC",0.88,0.647,-0.233,"differs",242,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","5","WS","full","Outfit","AUC",0.67,,,"not_implemented",242,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","5","WS","full","RPR","AUC",0.93,0.932,0.002,"matches",242,""
"goldammer_battery_2024","5","WS","full","Synonyms","AUC",0.9,0.808,-0.092,"differs",242,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 226 of 242 respondents (abstentions excluded)"
"goldammer_battery_2024","5","WS","full","Synonyms (careful-reference)","AUC",0.9,0.916,0.016,"close",242,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 233 of 242 respondents (abstentions excluded)"
"goldammer_battery_2024","5","WS","full","Time","AUC",0.92,,,"not_implemented",242,"timing indices are outside cier's scope"
"goldammer_battery_2024","5","WS","full","lz","AUC",0.71,,,"not_implemented",242,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","5","WS","full","r_pbis","AUC",0.91,0.909,-0.001,"matches",242,"scored on 237 of 242 respondents (abstentions excluded)"
"goldammer_battery_2024","5","WS","partial","Antonyms","AUC",0.74,,,"abstains",240,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","5","WS","partial","Antonyms (careful-reference)","AUC",0.74,0.79,0.05,"differs",240,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","5","WS","partial","Gnormed","AUC",0.72,0.722,0.002,"matches",240,""
"goldammer_battery_2024","5","WS","partial","Ht","AUC",0.71,0.846,0.136,"differs",240,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken"
"goldammer_battery_2024","5","WS","partial","INDCHI","AUC",0.46,,,"not_implemented",240,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","5","WS","partial","IRV","AUC",0.52,0.522,0.002,"matches",240,""
"goldammer_battery_2024","5","WS","partial","Infit","AUC",0.5,,,"not_implemented",240,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","5","WS","partial","Longstring","AUC",0.59,0.593,0.003,"matches",240,""
"goldammer_battery_2024","5","WS","partial","MD","AUC",0.81,0.607,-0.203,"differs",240,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","5","WS","partial","Outfit","AUC",0.5,,,"not_implemented",240,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","5","WS","partial","RPR","AUC",0.81,0.805,-0.005,"close",240,""
